pair_id,original_display_choice,swapped_display_choice,original_chosen_side,swapped_chosen_side,same_underlying_choice_after_swap,same_display_label_after_swap,position_bias_flag
pair_01,B,B,left,right,0,1,1
pair_02,B,B,left,right,0,1,1
pair_03,A,A,right,left,0,1,1
pair_04,A,A,right,left,0,1,1
pair_05,B,B,right,left,0,1,1
pair_06,B,B,left,right,0,1,1
pair_07,B,B,left,right,0,1,1
pair_08,B,B,right,left,0,1,1
pair_09,B,B,right,left,0,1,1
pair_10,A,A,left,right,0,1,1
pair_11,B,B,left,right,0,1,1
pair_12,B,A,left,left,1,0,0
pair_13,B,B,right,left,0,1,1
pair_14,B,B,left,right,0,1,1
pair_15,B,B,right,left,0,1,1
pair_16,A,A,right,left,0,1,1
pair_17,B,B,left,right,0,1,1
pair_18,B,B,right,left,0,1,1
pair_19,B,B,left,right,0,1,1
pair_20,A,A,left,right,0,1,1
__aggregate__,A:11;B:29,,consistent_underlying_after_swap:1,same_display_after_swap:19,1,19,19
